ITFGSM Hash Distance, MT-ITFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-ITFGSM,SSIM ITFGSM,SSIM MT-ITFGSM
0.000000000000000000e+00,0.000000000000000000e+00,2.910000085830688477e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.820646643638610840e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.049999952316284180e+00,2.900000095367431641e+00,1.000000000000000000e+00,9.818027019500732422e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.849999904632568359e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.766895771026611328e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.650000095367431641e+00,2.559999942779541016e+00,1.000000000000000000e+00,9.896667003631591797e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.900000095367431641e+00,2.769999980926513672e+00,1.000000000000000000e+00,9.792206287384033203e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.799999952316284180e+00,2.140000104904174805e+00,1.000000000000000000e+00,9.813058972358703613e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.910000085830688477e+00,1.000000000000000000e+00,9.820184707641601562e-01
4.000000000000000000e+00,4.000000000000000000e+00,2.880000114440917969e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.761260151863098145e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.799999952316284180e+00,2.700000047683715820e+00,1.000000000000000000e+00,9.653965830802917480e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.779999971389770508e+00,2.609999895095825195e+00,1.000000000000000000e+00,9.896750450134277344e-01
