ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
4.000000000000000000e+00,4.000000000000000000e+00,3.829999923706054688e+00,3.829999923706054688e+00,9.619596600532531738e-01,9.613058567047119141e-01
0.000000000000000000e+00,4.000000000000000000e+00,3.779999971389770508e+00,3.789999961853027344e+00,9.306285381317138672e-01,9.317660331726074219e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.476556181907653809e-01,9.467609524726867676e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.553951621055603027e-01,9.547780156135559082e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.545344710350036621e-01,9.470500946044921875e-01
0.000000000000000000e+00,4.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.564049839973449707e-01,9.604048728942871094e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.599083065986633301e-01,9.589865803718566895e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.829999923706054688e+00,9.685864448547363281e-01,9.638871550559997559e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.599568843841552734e-01,9.594979286193847656e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.829999923706054688e+00,9.601002335548400879e-01,9.593684077262878418e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.769999980926513672e+00,3.779999971389770508e+00,9.580112099647521973e-01,9.568831324577331543e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.759999990463256836e+00,3.769999980926513672e+00,9.605968594551086426e-01,9.593865275382995605e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.859999895095825195e+00,9.575032591819763184e-01,9.567944407463073730e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.809999942779541016e+00,9.636182785034179688e-01,9.622029662132263184e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.859999895095825195e+00,9.338871836662292480e-01,9.338715672492980957e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.859999895095825195e+00,3.849999904632568359e+00,9.408480525016784668e-01,9.464819431304931641e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.516889452934265137e-01,9.529240727424621582e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.819999933242797852e+00,9.654353260993957520e-01,9.614023566246032715e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.517979621887207031e-01,9.504330754280090332e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.575746059417724609e-01,9.564049243927001953e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.849999904632568359e+00,9.361545443534851074e-01,9.397830963134765625e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.466145038604736328e-01,9.459505081176757812e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.829999923706054688e+00,3.839999914169311523e+00,9.633216261863708496e-01,9.628198742866516113e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.849999904632568359e+00,9.700005650520324707e-01,9.691936969757080078e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.684773087501525879e-01,9.683232307434082031e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.809999942779541016e+00,3.819999933242797852e+00,9.539640545845031738e-01,9.557895064353942871e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.829999923706054688e+00,9.640893340110778809e-01,9.661642909049987793e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.529154896736145020e-01,9.591671824455261230e-01
2.000000000000000000e+00,4.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.621614813804626465e-01,9.612968564033508301e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.679782986640930176e-01,9.674856066703796387e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.659561514854431152e-01,9.649040102958679199e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.682879447937011719e-01,9.569652676582336426e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.324390292167663574e-01,9.381168484687805176e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.561132788658142090e-01,9.546105265617370605e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.603862166404724121e-01,9.532986283302307129e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.527525305747985840e-01,9.526020884513854980e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.650616645812988281e-01,9.643906950950622559e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.829999923706054688e+00,3.819999933242797852e+00,9.654626250267028809e-01,9.656863212585449219e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.789999961853027344e+00,3.789999961853027344e+00,9.529941678047180176e-01,9.519219398498535156e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.464451670646667480e-01,9.454888701438903809e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.829999923706054688e+00,3.819999933242797852e+00,9.599086642265319824e-01,9.593450427055358887e-01
